category;parameter;ref_18;ambicioso_sitp_30
general;parent;ref_18;ref_18
general;year;2018;2030
general;freeze_modal_split;false;false
general;freeze_distribution;false;false
general;gas_price;200;240
general;gas_per_km;0.02;
general;max_footpath_length;1000;
general;max_ntleg_length;2000;
general;footpath_speed;3;3.3
general;short_leg_speed;4;4.4
general;long_leg_speed;12;
general;n_ntlegs;10;
general;ntleg_threshold;300;
transfers;concho;0;
transfers;minibus;0;
transfers;integrated;10;
transfers;bus;0;
transfers;tram;0;
transfers;express_bus;0;
price;concho;25;25
price;minibus;25;25
price;integrated;20;30
price;bus;15;15
price;express_bus;20;30
price;tram;20;30
fare_id;concho;concho;concho
fare_id;minibus;minibus;minibus
fare_id;subway;integrated;integrated
fare_id;express_bus;integrated;integrated
fare_id;gondola;integrated;integrated
fare_id;bus;bus;bus
fare_id;tram;integrated;integrated
speed;car;15;12
speed;concho;12;12
speed;minibus;12;12
speed;subway;32;32
speed;express_bus;25;20
speed;gondola;22;22
speed;bus;15;12
speed;tram;18;18
headway;concho;180;180
headway;minibus;300;300
headway;subway;180;180
headway;express_bus;180;180
headway;gondola;25;25
headway;bus;300;300
headway;tram;300;300
route_type;m3;none;none
route_type;m1;subway;subway
route_type;m2;subway;none
route_type;m2_este;none;none
route_type;m2_oeste;none;none
route_type;m2_completo;none;subway
route_type;tram_oeste;none;none
route_type;tram_este;none;none
route_type;luperon;none;express_bus
route_type;ecologico;none;tram
route_type;mella;none;tram
route_type;victoria;none;bus
route_type;tele_norte;none;gondola
route_type;sanfelipe;none;bus
route_type;27_febrero;none;tram
route_type;sitp_cdg_este;none;express_bus
route_type;sitp_cdg_oeste;none;express_bus
route_type;sitp_churchill;none;express_bus
route_type;sitp_defillo;none;bus
route_type;sitp_duarte;none;bus
route_type;sitp_josefa;none;bus
route_type;sitp_lincoln;none;bus
route_type;sitp_marzo;none;bus
route_type;sitp_nunez;none;express_bus
route_type;sitp_ortega;none;bus
route_type;sitp_prolongacion_27;none;express_bus
route_type;sitp_josefa;none;bus
route_type;sitp_venezuela;none;bus
route_type;sitp_tiradendes;none;bus
route_type;sitp_sabana_larga;none;bus
route_type;pantoja;none;gondola
route_type;tele_oeste;none;gondola
route_type;tele_alcarrizos;none;gondola
route_type;tele_este;gondola;gondola
route_type;monumental;none;gondola
route_type;herrera;none;gondola
route_type;independencia;none;express_bus
route_type;27_febrero_oeste;none;none
