start_time,end_time,headway_secs,trip_id
0:00:00,23:55:00,300,first trip_2
0:00:00,23:59:00,60,first trip_1
0:00:00,23:50:00,600,first trip_4
0:00:00,23:59:00,60,first trip_3
0:00:00,23:59:00,60,first trip_6
0:00:00,23:59:00,60,first trip_5
0:00:00,23:59:00,60,first trip_8
0:00:00,23:50:00,600,first trip_14
0:00:00,23:59:00,60,first trip_20
0:00:00,23:59:00,60,first trip_12
0:00:00,23:59:00,60,first trip_22
0:00:00,23:58:00,120,first trip_24
0:00:00,23:59:00,60,first trip_26
0:00:00,23:58:00,120,first trip_10
0:00:00,23:59:00,60,first trip_30
0:00:00,23:50:00,600,first trip_13
0:00:00,23:59:00,60,first trip_19
0:00:00,23:59:00,60,first trip_21
0:00:00,23:59:00,60,first trip_7
0:00:00,23:50:00,600,first trip_11
0:00:00,23:59:00,60,first trip_23
0:00:00,23:59:00,60,first trip_9
0:00:00,23:59:00,60,first trip_29
0:00:00,23:59:00,60,first trip_25
0:00:00,23:58:00,120,first trip_16
0:00:00,23:59:00,60,first trip_15
0:00:00,23:59:00,60,first trip_18
0:00:00,23:59:00,60,first trip_17
0:00:00,23:50:00,600,first trip_32
0:00:00,23:50:00,600,first trip_31
0:00:00,23:50:00,600,first trip_34
0:00:00,23:50:00,600,first trip_33
0:00:00,23:50:00,600,first trip_36
0:00:00,23:50:00,600,first trip_35
0:00:00,23:50:00,600,first trip_38
0:00:00,23:50:00,600,first trip_37
0:00:00,23:50:00,600,first trip_40
0:00:00,23:50:00,600,first trip_39
0:00:00,23:50:00,600,first trip_42
0:00:00,23:50:00,600,first trip_41
0:00:00,23:50:00,600,first trip_44
0:00:00,23:50:00,600,first trip_43
0:00:00,23:50:00,600,first trip_46
0:00:00,23:50:00,600,first trip_48
0:00:00,23:50:00,600,first trip_47
0:00:00,23:50:00,600,first trip_50
0:00:00,23:50:00,600,first trip_52
0:00:00,23:59:00,60,first trip_54
0:00:00,23:50:00,600,first trip_53
0:00:00,23:50:00,600,first trip_56
0:00:00,23:59:00,60,first trip_55
0:00:00,23:50:00,600,first trip_45
0:00:00,23:50:00,600,first trip_51
0:00:00,23:50:00,600,first trip_49
0:00:00,23:59:00,60,first trip_58
0:00:00,23:59:00,60,first trip_57
0:00:00,23:50:00,600,first trip_60
0:00:00,23:50:00,600,first trip_59
0:00:00,23:50:00,600,first trip_62
0:00:00,23:50:00,600,first trip_61
0:00:00,23:50:00,600,first trip_28
0:00:00,23:50:00,600,first trip_27
0:00:00,23:50:00,600,first trip_64
0:00:00,23:50:00,600,first trip_63
0:00:00,23:50:00,600,first trip_66
0:00:00,23:50:00,600,first trip_65
0:00:00,23:50:00,600,first trip_68
0:00:00,23:50:00,600,first trip_67
0:00:00,23:50:00,600,first trip_70
0:00:00,23:50:00,600,first trip_69
0:00:00,23:50:00,600,first trip_72
0:00:00,23:50:00,600,first trip_71
0:00:00,23:59:00,60,first trip_74
0:00:00,23:50:00,600,first trip_73
0:00:00,23:59:00,60,first trip_80
0:00:00,23:59:00,60,first trip_79
0:00:00,23:59:00,60,first trip_81
