shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
54952,18.54551,-69.90039,0,0.0
54952,18.53975,-69.90451,1,771.8027071437112
54952,18.52953,-69.90836,2,1973.8358096021743
54952,18.52511,-69.91645,3,2958.2078950588075
54952,18.51819,-69.91488,4,3741.891991025395
54952,18.50781,-69.91551,5,4892.740252763332
54952,18.4998,-69.9154,6,5779.412854936107
54952,18.49372,-69.91499,7,6453.775902878003
54952,18.48612,-69.91445,8,7296.920701836137
54952,18.48186,-69.91417,9,7769.369327937626
54952,18.47625,-69.91345,10,8394.956216672424
54952,18.47103,-69.91204,11,8991.620074266597
54952,18.4644,-69.9098,12,9762.663345715875
54952,18.45926,-69.91625,13,10650.259542260987
54952,18.45534,-69.92447,14,11620.90212279732
54952,18.4511,-69.92749,15,12188.364832550857
54953,18.4511,-69.92749,0,0.0
54953,18.45534,-69.92447,1,567.4627097535358
54953,18.45926,-69.91625,2,1538.10529028987
54953,18.4644,-69.9098,3,2425.7014868349816
54953,18.47103,-69.91204,4,3196.7447582842597
54953,18.47625,-69.91345,5,3793.408615878432
54953,18.48186,-69.91417,6,4418.995504613229
54953,18.48612,-69.91445,7,4891.444130714719
54953,18.49372,-69.91499,8,5734.588929672851
54953,18.4998,-69.9154,9,6408.951977614748
54953,18.50782,-69.91551,10,7296.731347442803
54953,18.51819,-69.91488,11,8446.474599100186
54953,18.52511,-69.91645,12,9230.158695066772
54953,18.52953,-69.90836,13,10214.530780523406
54953,18.53975,-69.90451,14,11416.563882981869
54953,18.54551,-69.90039,15,12188.366590125579
54954,18.50544,-69.85587,0,0.0
54954,18.51024,-69.85991,1,681.3761212405989
54954,18.51044,-69.86539,2,1260.4663646022855
54954,18.51081,-69.87011,3,1760.5591522674367
54954,18.50719,-69.87929,4,2809.485299530701
54954,18.50382,-69.88408,5,3437.969243836833
54954,18.49974,-69.88988,6,4198.9449235883985
54954,18.49579,-69.89569,7,4952.341769957744
54954,18.49308,-69.89952,8,5455.901194387407
54954,18.48743,-69.90439,9,6265.600820637588
54954,18.48156,-69.9064,10,6949.126710359804
54954,18.48186,-69.91417,11,7770.416762295772
54954,18.48227,-69.92086,12,8478.426901076491
54954,18.4827,-69.93113,13,9564.118540020376
54954,18.48407,-69.94064,14,10579.877846188312
54954,18.48237,-69.94615,15,11191.469920635092
54954,18.4818,-69.95478,16,12105.095226347868
54954,18.48001,-69.96241,17,12934.930662078776
54954,18.47896,-69.9676,18,13495.258263584969
54955,18.47896,-69.9676,0,0.0
54955,18.48001,-69.96241,1,560.3276015061929
54955,18.4818,-69.95478,2,1390.1630372371
54955,18.48237,-69.94615,3,2303.788342949876
54955,18.48407,-69.94064,4,2915.3804173966564
54955,18.4827,-69.93113,5,3931.1397235645927
54955,18.48227,-69.92086,6,5016.8313625084775
54955,18.48186,-69.91417,7,5724.8415012892
54955,18.48156,-69.9064,8,6546.131553225168
54955,18.48743,-69.90439,9,7229.657442947384
54955,18.49308,-69.89952,10,8039.357069197569
54955,18.49579,-69.89569,11,8542.916493627235
54955,18.49974,-69.88988,12,9296.31333999658
54955,18.50382,-69.88408,13,10057.289019748147
54955,18.50719,-69.87929,14,10685.772964054282
54955,18.51081,-69.87011,15,11734.699111317546
54955,18.51024,-69.85991,16,12813.62503080591
54955,18.50544,-69.85587,17,13495.001152046505
54956,18.50382,-69.88408,0,0.0
54956,18.51725,-69.88182,1,1505.5512679829408
54956,18.53089,-69.8656,2,3788.6405467118384
54956,18.54311,-69.86069,3,5237.169265272889
54957,18.54311,-69.86069,0,0.0
54957,18.53089,-69.8656,1,1448.5287185610505
54957,18.51725,-69.88182,2,3731.617997289941
54957,18.50382,-69.88408,3,5237.169265272882
54965,18.47896,-69.9676,0,0.0
54965,18.48612,-69.97727,1,1292.7051049798247
54965,18.49186,-69.98452,2,2287.642380123383
54965,18.49899,-69.99388,3,3552.509282116509
54965,18.50491,-70.00142,4,4583.70126045619
54965,18.51157,-70.01,5,5751.735344768662
54965,18.52001,-70.0103,6,6686.465038460199
54969,18.50544,-69.85587,0,0.0
54969,18.51181,-69.84632,1,1230.4893438773724
54969,18.51679,-69.83851,2,2222.4318391662237
54969,18.52253,-69.82931,3,3383.1803273857513
54969,18.52846,-69.8215,4,4437.14557244649
54969,18.5332,-69.81516,5,5287.650259830509
54969,18.53321,-69.8062,6,6233.666783278546
54969,18.533,-69.79573,7,7339.356667193424
54970,18.50544,-69.85587,0,0.0
54970,18.499,-69.85292,1,777.9188900355803
54970,18.49281,-69.85066,2,1503.4452941887866
54970,18.48506,-69.84896,3,2379.848553472155
54971,18.48506,-69.84896,0,0.0
54971,18.48357,-69.83444,1,1542.3308039828553
54971,18.48329,-69.82694,2,2335.0317816666648
54971,18.4829,-69.81341,3,3764.625642580868
54971,18.4829,-69.79948,4,5235.81442596321
54971,18.48284,-69.7859,5,6670.054292386805
54971,18.4836,-69.77284,6,8051.920052852234
54971,18.4836,-69.76062,7,9342.50540509705
54971,18.48426,-69.74764,8,10715.298788050466
54972,18.47896,-69.9676,0,0.0
54972,18.46608,-69.96856,1,1429.2347950038384
54972,18.45803,-69.97065,2,2347.1948731277225
54972,18.44924,-69.97421,3,3390.2656948111107
54972,18.44184,-69.97756,4,4282.516497529781
54972,18.43468,-69.98332,5,5281.679270134933
54972,18.42761,-69.99024,6,6352.579546094465
54973,18.52004,-70.0103,0,0.0
54973,18.51905,-70.00042,1,1048.9735122045531
54973,18.5262,-69.99963,2,1844.7653198169282
54973,18.53287,-69.99566,3,2693.740802011307
54973,18.53618,-69.98876,4,3509.1899113818654
54974,18.52347,-69.97704,0,0.0
54974,18.5182,-69.98196,1,781.1151487566094
54974,18.51345,-69.98868,2,1664.2530785712152
54974,18.50695,-69.98989,3,2394.9715085233183
54974,18.499,-69.99388,4,3370.6017164859077
54976,18.52004,-70.0103,0,0.0
54976,18.52377,-70.03393,1,2528.99704733408
54976,18.52053,-70.04416,2,3667.148332951663
54976,18.52621,-70.0528,3,4775.0835188484925
55930,18.47896,-69.9676,0,0.0
55930,18.47084,-69.97832,1,1445.585184724201
55930,18.47524,-69.98245,2,2099.391275119313
55930,18.48809,-69.99714,3,4204.153566777561
55930,18.50809,-69.99912,4,6427.729380312536
55930,18.5198,-70.01156,5,8273.125302589164
55930,18.52377,-70.03393,6,10675.681358386515
55930,18.52329,-70.04884,7,12250.895699661007
57835,18.533,-69.79573,0,0.0
57835,18.53302,-69.79574,1,2.4526242770662066
57835,18.53307,-69.7987,2,315.02501551977184
57835,18.5331,-69.80289,3,757.4269069458533
57835,18.53315,-69.805,4,980.2740349305241
57835,18.53316,-69.80621,5,1108.0332430486596
57835,18.53321,-69.8062,6,1113.6673835744004
57835,18.53316,-69.80621,7,1119.3015241001413
57835,18.5332,-69.8083,8,1340.0126177204656
57835,18.5332,-69.81,9,1519.5022422720358
57835,18.53321,-69.81105,10,1630.3690032106388
57835,18.53327,-69.81309,11,1845.8588645117416
57835,18.53327,-69.81401,12,1942.9943864888191
57835,18.53329,-69.81476,13,2022.211886083227
57835,18.53328,-69.81505,14,2052.8506892376026
57835,18.53326,-69.81518,15,2066.7537344218435
57835,18.5332,-69.81516,16,2073.7225562430394
57835,18.53326,-69.81518,17,2080.6913780642353
57835,18.53318,-69.81561,18,2126.947166511367
57835,18.53307,-69.81592,19,2161.868897635606
57835,18.53288,-69.81628,20,2205.3086326574557
57835,18.53274,-69.81648,21,2231.5009045767947
57835,18.53201,-69.81746,22,2362.783327915371
57835,18.53179,-69.8177,23,2397.927085961259
57835,18.53129,-69.81832,24,2483.6480987127725
57835,18.52962,-69.82034,25,2765.882553448435
57835,18.52888,-69.82127,26,2893.7532425330573
57835,18.52848,-69.82174,27,2960.2579147587385
57835,18.52836,-69.8216,28,2980.1306710587232
57835,18.52847,-69.8215,29,2996.2466636929457
57835,18.52836,-69.8216,30,3012.362656327168
57835,18.52848,-69.82174,31,3032.235412627153
57835,18.52822,-69.82205,32,3075.8191811971337
57835,18.52791,-69.82247,33,3131.889857750284
57835,18.52764,-69.82281,34,3178.600419084818
57835,18.52714,-69.82334,35,3257.3052027821977
57835,18.52682,-69.82374,36,3312.425943797527
57835,18.52579,-69.82513,37,3498.268860336495
57835,18.52464,-69.82684,38,3719.1812471175217
57835,18.52444,-69.82718,39,3761.3576669198956
57835,18.52407,-69.82777,40,3835.910382635542
57835,18.52379,-69.82816,41,3887.449177618604
57835,18.52189,-69.831,42,4253.7150225893565
57835,18.52184,-69.83095,43,4261.363639932766
57835,18.52279,-69.82952,44,4445.362416296324
57835,18.52253,-69.82931,45,4481.692420563733
57835,18.52279,-69.82952,46,4518.022424831142
57835,18.52333,-69.82871,47,4622.36478123015
57835,18.52427,-69.82734,48,4800.551781919057
57835,18.52432,-69.82737,49,4806.928504430078
57835,18.52407,-69.82777,50,4857.421263318902
57835,18.52379,-69.82816,51,4908.960058301964
57835,18.52172,-69.83124,52,5306.778734936728
57835,18.52006,-69.83364,53,5619.795459115863
57835,18.51831,-69.83622,54,5954.063365378039
57835,18.51766,-69.83739,55,6097.027970388313
57835,18.51646,-69.8397,56,6374.765107925006
57835,18.51637,-69.83964,57,6386.570870980198
57835,18.51692,-69.83859,58,6513.056638773618
57835,18.51679,-69.83851,59,6529.742200061039
57835,18.51692,-69.83859,60,6546.427761348459
57835,18.51736,-69.83776,61,6646.6918685100245
57835,18.51744,-69.83781,62,6657.001257589931
57835,18.51505,-69.8424,63,7209.1664332691
57835,18.51396,-69.84446,64,7457.9075540036865
57835,18.51382,-69.84471,65,7488.5181607119885
57835,18.51371,-69.84487,66,7509.34327513582
57835,18.51285,-69.84591,67,7654.674628995155
57835,18.51181,-69.84722,68,7834.636270237534
57835,18.51154,-69.84765,69,7888.994671164153
57835,18.5111,-69.84845,70,7986.5044247313635
57835,18.511,-69.84841,71,7998.351588143807
57835,18.51144,-69.84762,72,8094.948008166102
57835,18.51162,-69.84733,73,8131.481491472281
57835,18.51178,-69.8471,74,8161.539635489637
57835,18.51249,-69.84622,75,8283.239122230429
57835,18.51199,-69.84595,76,8345.49441596451
57835,18.51181,-69.84632,77,8389.351339360292
57835,18.51199,-69.84595,78,8433.208262756074
57835,18.51249,-69.84622,79,8495.463556490155
57835,18.51277,-69.84587,80,8543.696536119576
57835,18.51285,-69.84591,81,8553.507229648225
57835,18.51181,-69.84722,82,8733.468870890603
57835,18.51154,-69.84765,83,8787.827271817223
57835,18.51022,-69.85004,84,9079.44274930023
57835,18.50944,-69.8515,85,9256.141460921324
57835,18.50912,-69.85195,86,9315.408336379463
57835,18.50885,-69.85229,87,9362.121872407006
57835,18.50528,-69.85639,88,9948.288485605415
57835,18.50514,-69.85662,89,9977.09868203546
57835,18.50501,-69.85685,90,10005.328975155091
57835,18.50495,-69.8568,91,10013.81327180269
57835,18.50508,-69.85655,92,10043.879893673526
57835,18.5052,-69.85637,93,10067.068691490538
57835,18.5055,-69.856,94,10118.344692433384
57835,18.5054,-69.85591,95,10132.933694546504
57835,18.50544,-69.85587,96,10139.052861384567
58273,18.48506,-69.84897,0,0.0
58273,18.49282,-69.85067,1,877.4866743044113
58273,18.49902,-69.85292,2,1603.712211679711
58273,18.50544,-69.85587,3,2379.603132451637
58274,18.42761,-69.99024,0,0.0
58274,18.43468,-69.98333,1,1070.179360691196
58274,18.44186,-69.97756,2,2071.7414410668716
58274,18.44924,-69.97421,3,2961.9605162466178
58274,18.45803,-69.97065,4,4005.031337930006
58274,18.46608,-69.96856,5,4922.991416053876
58274,18.47896,-69.9676,6,6352.226211057714
58275,18.52004,-70.0103,0,0.0
58275,18.51157,-70.01,1,938.0483847820724
58275,18.50491,-70.00142,2,2106.0824690945446
58275,18.499,-69.99388,3,3136.5714382293518
58275,18.49187,-69.98452,4,4401.438295915374
58275,18.48612,-69.97727,5,5397.082727178902
58275,18.47896,-69.9676,6,6689.787832158734
58276,18.48427,-69.74764,0,0.0
58276,18.48433,-69.74764,1,6.641158691520104
58276,18.48433,-69.74917,2,168.22767506106175
58276,18.48426,-69.75039,3,297.3072137166164
58276,18.48426,-69.75059,4,318.429642732488
58276,18.48383,-69.76063,5,1379.844542633713
58276,18.4836,-69.76063,6,1405.3023160470184
58276,18.48383,-69.76063,7,1430.7600894603238
58276,18.48373,-69.76324,8,1706.6306943148375
58276,18.48366,-69.76382,9,1768.374008156883
58276,18.48363,-69.76479,10,1870.8719560102036
58276,18.48379,-69.76597,11,1996.7467348194332
58276,18.48389,-69.76684,12,2089.293809037481
58276,18.48398,-69.76788,13,2199.5814655364957
58276,18.48408,-69.7686,14,2276.423668086587
58276,18.48405,-69.76908,15,2327.2261918634467
58276,18.48391,-69.77006,16,2431.8798668289674
58276,18.48376,-69.77056,17,2487.234642548865
58276,18.48369,-69.77099,18,2533.304213281517
58276,18.48354,-69.77137,19,2576.735710909299
58276,18.48351,-69.77155,20,2596.0338067283446
58276,18.48351,-69.77175,21,2617.1563276124652
58276,18.48354,-69.77209,22,2653.217816613411
58276,18.48359,-69.77227,23,2673.017274910497
58276,18.4837,-69.77283,24,2733.400531170657
58276,18.4836,-69.77284,25,2744.5193998764444
58276,18.4837,-69.77283,26,2755.638268582232
