stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,stop_id,trip_id,arrival_time,departure_time
0,,,,0.0,,564147,first trip_27,0:00:00,0:00:30
1,,,,693.708,,632844,first trip_27,0:03:16,0:03:46
2,,,,1107.06,,632843,first trip_27,0:05:26,0:05:56
3,,,,1777.31,,603992,first trip_27,0:08:37,0:09:07
4,,,,2243.05,,603987,first trip_27,0:10:58,0:11:28
5,,,,2994.34,,632842,first trip_27,0:14:29,0:14:59
6,,,,3664.89,,564180,first trip_27,0:17:40,0:18:10
7,,,,4198.8,,603986,first trip_27,0:20:18,0:20:48
8,,,,4662.5,,603981,first trip_27,0:22:39,0:23:09
9,,,,5110.37,,632841,first trip_27,0:24:56,0:25:26
10,,,,5583.85,,603980,first trip_27,0:27:20,0:27:50
11,,,,6137.25,,564177,first trip_27,0:30:03,0:30:33
12,,,,6536.46,,632840,first trip_27,0:32:09,0:32:39
13,,,,7217.48,,564088,first trip_27,0:35:22,0:35:52
14,,,,7939.23,,632839,first trip_27,0:38:45,0:39:15
15,,,,8562.54,,632838,first trip_27,0:41:45,0:42:15
16,,,,8939.15,,632837,first trip_27,0:43:45,0:44:15
17,,,,9361.07,,603978,first trip_27,0:45:56,0:46:26
18,,,,9757.37,,564174,first trip_27,0:48:02,0:48:32
19,,,,10059.8,,632806,first trip_27,0:49:44,0:50:14
20,,,,10741.8,,564173,first trip_27,0:52:58,0:53:28
21,,,,11045.4,,632836,first trip_27,0:54:41,0:55:11
22,,,,11397.9,,603974,first trip_27,0:56:35,0:57:05
23,,,,11792.7,,632835,first trip_27,0:58:40,0:59:10
24,,,,12203.8,,632826,first trip_27,1:00:49,1:01:19
25,,,,12579.3,,632834,first trip_27,1:02:49,1:03:19
26,,,,13837.9,,632833,first trip_27,1:05:01,1:05:31
27,,,,14610.4,,632832,first trip_27,1:08:36,1:09:06
28,,,,15207.8,,610005,first trip_27,1:11:30,1:12:00
29,,,,15832.1,,632831,first trip_27,1:14:29,1:14:59
0,,,,0.0,,632831,first trip_28,0:00:00,0:00:30
1,,,,624.318,,610005,first trip_28,0:03:00,0:03:30
2,,,,1221.71,,632832,first trip_28,0:05:53,0:06:23
3,,,,1994.21,,632833,first trip_28,0:09:29,0:09:59
4,,,,2419.27,,632834,first trip_28,0:11:40,0:12:10
5,,,,2794.77,,632826,first trip_28,0:13:41,0:14:11
6,,,,3205.86,,632835,first trip_28,0:15:49,0:16:19
7,,,,3600.67,,603974,first trip_28,0:17:54,0:18:24
8,,,,3953.23,,632836,first trip_28,0:19:49,0:20:19
9,,,,4256.82,,564173,first trip_28,0:21:32,0:22:02
10,,,,4938.82,,632806,first trip_28,0:24:45,0:25:15
11,,,,5637.54,,603978,first trip_28,0:28:03,0:28:33
12,,,,6059.45,,632837,first trip_28,0:30:14,0:30:44
13,,,,6436.07,,632838,first trip_28,0:32:15,0:32:45
14,,,,7059.37,,632839,first trip_28,0:35:14,0:35:44
15,,,,7781.12,,564088,first trip_28,0:38:37,0:39:07
16,,,,8462.14,,632840,first trip_28,0:41:51,0:42:21
17,,,,8861.35,,564177,first trip_28,0:43:57,0:44:27
18,,,,9414.75,,603980,first trip_28,0:46:39,0:47:09
19,,,,9888.23,,632841,first trip_28,0:49:03,0:49:33
20,,,,10336.1,,603981,first trip_28,0:51:21,0:51:51
21,,,,10799.8,,603986,first trip_28,0:53:42,0:54:12
22,,,,11333.7,,564180,first trip_28,0:56:20,0:56:50
23,,,,12004.3,,632842,first trip_28,0:59:31,1:00:01
24,,,,12755.6,,603987,first trip_28,1:03:01,1:03:31
25,,,,13221.3,,603992,first trip_28,1:05:23,1:05:53
26,,,,13891.5,,632843,first trip_28,1:08:34,1:09:04
27,,,,14304.9,,632844,first trip_28,1:10:43,1:11:13
28,,,,14998.6,,564147,first trip_28,1:13:59,1:14:29
0,,,,0.0,,564110,first trip_71,0:00:00,0:00:30
1,,,,218.407,,640722,first trip_71,0:01:22,0:01:52
2,,,,705.976,,640721,first trip_71,0:03:49,0:04:19
3,,,,1049.58,,640720,first trip_71,0:05:42,0:06:12
4,,,,1394.22,,640719,first trip_71,0:07:35,0:08:05
5,,,,1854.83,,632838,first trip_71,0:09:55,0:10:25
0,,,,0.0,,9007199254740990_5,first trip_72,0:00:00,0:00:30
1,,,,444.786,,640719,first trip_72,0:02:17,0:02:47
2,,,,789.424,,640720,first trip_72,0:04:09,0:04:39
3,,,,1133.03,,640721,first trip_72,0:06:02,0:06:32
4,,,,1620.6,,640722,first trip_72,0:08:29,0:08:59
5,,,,1839.0,,564110,first trip_72,0:09:51,0:10:21
0,,,,0.0,,564147,first trip_73,0:00:00,0:00:30
1,,,,881.185,,564146,first trip_73,0:04:01,0:04:31
2,,,,1610.11,,564145,first trip_73,0:07:26,0:07:56
3,,,,2389.41,,564135,first trip_73,0:11:03,0:11:33
4,,,,3072.3,,564134,first trip_73,0:14:17,0:14:47
5,,,,3650.55,,564131,first trip_73,0:17:06,0:17:36
6,,,,4149.94,,564130,first trip_73,0:19:36,0:20:06
7,,,,5198.27,,564129,first trip_73,0:24:17,0:24:47
8,,,,5827.18,,394629,first trip_73,0:27:18,0:27:18
9,,,,6588.67,,394569,first trip_73,0:30:21,0:30:21
10,,,,7342.51,,564102,first trip_73,0:33:22,0:33:22
11,,,,7844.59,,564101,first trip_73,0:35:22,0:35:22
12,,,,8657.88,,394566,first trip_73,0:38:37,0:38:37
13,,,,9344.15,,564099,first trip_73,0:41:22,0:41:22
14,,,,10164.3,,394549,first trip_73,0:44:39,0:44:39
15,,,,10871.2,,564111,first trip_73,0:47:29,0:47:29
16,,,,11955.4,,564110,first trip_73,0:51:49,0:51:49
17,,,,12969.0,,564109,first trip_73,0:55:52,0:55:52
18,,,,13580.9,,564108,first trip_73,0:58:19,0:58:19
19,,,,14493.3,,564107,first trip_73,1:01:58,1:01:58
20,,,,15323.1,,564105,first trip_73,1:05:17,1:05:17
21,,,,15881.8,,564106,first trip_73,1:07:31,1:07:31
0,,,,0.0,,564106,first trip_74,0:00:00,0:00:00
1,,,,558.728,,564105,first trip_74,0:02:14,0:02:14
2,,,,1388.58,,564107,first trip_74,0:05:33,0:05:33
3,,,,2300.9,,564108,first trip_74,0:09:12,0:09:12
4,,,,2912.83,,564109,first trip_74,0:11:39,0:11:39
5,,,,3926.47,,564110,first trip_74,0:15:42,0:15:42
6,,,,5010.59,,564111,first trip_74,0:20:03,0:20:03
7,,,,5717.59,,394549,first trip_74,0:22:52,0:22:52
8,,,,6537.7,,564099,first trip_74,0:26:09,0:26:09
9,,,,7223.97,,394566,first trip_74,0:28:54,0:28:54
10,,,,8037.26,,564101,first trip_74,0:32:09,0:32:09
11,,,,8539.33,,564102,first trip_74,0:34:10,0:34:10
12,,,,9293.17,,394569,first trip_74,0:37:11,0:37:11
13,,,,10054.7,,394629,first trip_74,0:40:13,0:40:13
14,,,,10683.6,,564129,first trip_74,0:42:44,0:43:14
15,,,,11731.9,,564130,first trip_74,0:47:26,0:47:56
16,,,,12809.3,,564134,first trip_74,0:52:14,0:52:44
17,,,,13492.2,,564135,first trip_74,0:55:28,0:55:58
18,,,,14271.5,,564145,first trip_74,0:59:05,0:59:35
19,,,,15000.4,,564146,first trip_74,1:02:30,1:03:00
20,,,,15881.6,,564147,first trip_74,1:06:31,1:07:01
0,,,,0.0,,9007199254740985_6,first trip_75,0:00:00,0:00:30
1,,,,1572.61,,564184,first trip_75,0:06:47,0:07:17
2,,,,2886.47,,9007199254740990_4,first trip_75,0:12:33,0:13:03
3,,,,3975.85,,9007199254740986_8,first trip_75,0:17:24,0:17:54
0,,,,0.0,,564106,first trip_76,0:00:00,0:00:30
1,,,,1447.25,,574022,first trip_76,0:06:17,0:06:47
2,,,,2103.07,,574023,first trip_76,0:09:25,0:09:55
3,,,,3234.01,,9007199254740989_4,first trip_76,0:14:26,0:14:56
0,,,,0.0,,9007199254740985_6,first trip_77,0:00:00,0:00:30
1,,,,1572.61,,564184,first trip_77,0:06:47,0:07:17
2,,,,3972.68,,9007199254740986_8,first trip_77,0:16:53,0:17:23
0,,,,0.0,,9007199254740988_7,first trip_78,0:00:00,0:00:30
1,,,,2107.37,,574023,first trip_78,0:08:56,0:09:26
2,,,,2763.19,,574022,first trip_78,0:12:03,0:12:33
3,,,,4210.43,,564106,first trip_78,0:18:21,0:18:51
0,,,,0.0,,564083,first trip_1,0:00:00,0:00:00
1,,,,568.991,,394544,first trip_1,0:02:17,0:02:17
2,,,,1538.7,,394545,first trip_1,0:06:09,0:06:09
3,,,,2427.94,,394546,first trip_1,0:09:43,0:09:43
4,,,,3202.09,,394547,first trip_1,0:12:48,0:12:48
5,,,,3801.28,,564088,first trip_1,0:15:12,0:15:12
6,,,,4429.68,,394549,first trip_1,0:17:43,0:17:43
7,,,,4904.3,,394550,first trip_1,0:19:37,0:19:37
8,,,,5751.88,,394551,first trip_1,0:23:00,0:23:00
9,,,,6428.74,,394552,first trip_1,0:25:43,0:25:43
10,,,,7321.71,,394553,first trip_1,0:29:17,0:29:17
11,,,,8475.61,,394554,first trip_1,0:33:54,0:33:54
12,,,,9262.68,,394555,first trip_1,0:37:03,0:37:03
13,,,,10247.1,,394556,first trip_1,0:40:59,0:40:59
14,,,,11453.8,,564097,first trip_1,0:45:49,0:45:49
