stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,stop_timezone,wheelchair_boarding,parent_station
394629,,"""Avenida Padre Castellanos-Avenida Francisco del Rosario Sánchez""",,18.503824,-69.884084,,,0,,,
640722,,"""Avenida Tiradentes-Avenida John F. Kennedy""",,18.482591,-69.929060,,,0,,,
564088,,"""Expreso 27 de Febrero-Avenida Máximo Gómez""",,18.476249,-69.913455,,,0,,,
564174,,"""Tunel Expreso 27 de Febrero-Boulevard de la 27""",,18.463909,-69.933575,,,0,,,
603971,,"""Calle 8-Calle 9""",,18.472768,-69.952664,,,0,,,
564106,,"""Autopista Duarte-John F. Kennedy""",,18.478959,-69.967597,,,0,,,
9007199254740978_1,,Calle Club Activo 20 - 30-Calle Aruba,,18.494068,-69.868341,,,0,,,
9007199254740979_1,,Calle Puerto Rico-Calle 15 Padre Paules,,18.491896,-69.874179,,,0,,,
9007199254740980_1,,Respaldo 25-Calle 2da,,18.489308,-69.880159,,,0,,,
9007199254740981_1,,Avenida 27 de Febrero-Avenida Josefa Brea,,18.487212,-69.886645,,,0,,,
9007199254740982_1,,Calle La Filantropica-Calle Abreu,,18.484490,-69.894743,,,0,,,
9007199254740983_1,,Calle La Guardia-Calle Doctor Tejada Florentino,,18.481506,-69.901887,,,0,,,
9007199254740984_1,,Paseo de Los Periodistas-Santo Domingo,,18.478634,-69.910460,,,0,,,
9007199254740985_1,,Humberto Gomez-Felipe Maduro,,18.475905,-69.918431,,,0,,,
9007199254740986_1,,Calle Alberto Larancuent-Edificio Purple Tangerine,,18.473598,-69.924991,,,0,,,
9007199254740987_1,,Avenida Lope de Vega-Avenida Lope de Vega,,18.471713,-69.931397,,,0,,,
9007199254740988_1,,Calle Manuel de Jesús Troncoso-Calle Doctor Rafael Augusto Sánchez,,18.469342,-69.937354,,,0,,,
9007199254740989_1,,Calle Doctor Rafael Augusto Sánchez-Calle Licenciado Polibio Díaz,,18.466905,-69.944407,,,0,,,
9007199254740990_1,,Calle Bohechio-Calle General Domingo Mallol,,18.465026,-69.949690,,,0,,,
9007199254740990_2,,Calle Max Henriquez Ureña-Calle José A. Brea Peña,,18.469738,-69.942939,,,0,,,
9007199254740989_2,,Pablo Neruda-Calle Andrés Julio Aybar,,18.471413,-69.936999,,,0,,,
9007199254740988_2,,Calle Agustin Lara-Calle Agustin Lara,,18.472851,-69.932754,,,0,,,
9007199254740987_2,,Calle Orion-Calle 14,,18.474054,-69.928487,,,0,,,
9007199254740986_2,,Avenida Gustavo Mejía Ricart-Calle Luis Alberti,,18.475547,-69.923147,,,0,,,
9007199254740985_2,,Centro Olimpico Juan Pablo Duarte-Ernesto Rodriguez,,18.477573,-69.916782,,,0,,,
9007199254740984_2,,Avenida Máximo Gómez-Avenida Máximo Gómez,,18.478629,-69.912777,,,0,,,
9007199254740983_2,,Avenida Leopoldo Navarro-Parque del Homenaje,,18.480626,-69.906140,,,0,,,
9007199254740982_2,,Calle Francisco Henríquez y Carvajal-Calle Francisco Henríquez y Carvajal,,18.482263,-69.899764,,,0,,,
9007199254740981_2,,Calle J. Puello-Calle Sanchez Valverde,,18.483505,-69.895844,,,0,,,
9007199254740980_2,,Calle Juana Saltitopa-Calle Doctor Betances,,18.485248,-69.890180,,,0,,,
9007199254740979_2,,Avenida del Puerto-Puente Juan Pablo Duarte,,18.486574,-69.884585,,,0,,,
9007199254740978_2,,Calle Presidente Vasquez-Calle Presidente Vasquez,,18.488809,-69.877731,,,0,,,
603988,,"""Calle Puerto Rico-Avenida Venezuela""",,18.491544,-69.869702,,,0,,,
603972,,"""Avenida Gustavo Mejía Ricart-Respaldo 18""",,18.467167,-69.951167,,,0,,,
9007199254740989_3,,Calle C1-Calle Caonabo,,18.497362,-69.861408,,,0,,,
9007199254740990_3,,Calle Bellas Artes-Respaldo Bellas Artes,,18.462808,-69.956610,,,0,,,
9007199254740989_4,,"""Calle Manzana 46 y 38-Calle Manzana 41 y 42""",,18.479736,-69.992073,,,0,,,
9007199254740989_5,,"""Calle Manzana 46-Calle Manzana 41 y 43""",,18.480966,-69.992926,,,0,,,
9007199254740990_4,,"""Calle 22-M. Adon""",,18.521059,-70.021804,,,0,,,
640721,,"""Avenida Tiradentes-Avenida Tiradentes""",,18.478373,-69.927798,,,0,,,
640720,,"""Avenida Gustavo Mejía Ricart-Avenida Tiradentes""",,18.475425,-69.926819,,,0,,,
640719,,"""Avenida Tiradentes-Calle Rafael Augusto Sanchez""",,18.472560,-69.925573,,,0,,,
9007199254740990_5,,"""Avenida Tiradentes-paso de desnivel Expreso 27 de Febrero""",,18.469030,-69.923590,,,0,,,
632898,,"""Avenida Ortega y Gasset-Avenida Gustavo Mejía Ricart""",,18.476214,-69.920424,,,0,,,
9007199254740988_3,,"""Prolong Avenida 27 De Febrero-Manzana 19""",,18.472014,-69.994376,,,0,,,
9007199254740987_3,,"""Prolong Avenida 27 De Febrero-Yobel Supply Chain Management""",,18.500148,-69.999080,,,0,,,
9007199254740986_3,,"""Prolong Avenida 27 De Febrero-La Mecedora""",,18.503027,-69.999172,,,0,,,
632894,,"""Prolong Avenida 27 De Febrero-Calle Piñon""",,18.497939,-69.999179,,,0,,,
632893,,"""Calle Paseo de la Castaña-Prolong Avenida 27 De Febrero""",,18.489777,-69.999593,,,0,,,
632892,,"""Prolong Avenida 27 De Febrero-Calle 1""",,18.484582,-69.998395,,,0,,,
632891,,"""Prolong Avenida 27 De Febrero-Calle Proyecto""",,18.478243,-69.997484,,,0,,,
9007199254740987_4,,"""Prolong Avenida 27 De Febrero-Manzana 19""",,18.472266,-69.994256,,,0,,,
632889,,"""Prolong Avenida 27 De Febrero-Calle 2""",,18.465638,-69.994595,,,0,,,
632888,,"""Prolongacion 27 De Febrero-Puente Prolong Avenida 27 De Febrero""",,18.460624,-69.991238,,,0,,,
632887,,"""Colinas Del Oeste-Prolongacion 27 De Febrero""",,18.458019,-69.984022,,,0,,,
632886,,"""Avenida Konrad Adenauer-Calle Penetracion""",,18.546083,-69.913779,,,0,,,
632885,,"""Avenida Konrad Adenauer-Jacobo Majluta""",,18.547267,-69.907038,,,0,,,
632884,,"""Avenida República de Colombia-Calle Perdomo""",,18.507884,-69.996303,,,0,,,
632883,,"""Avenida República de Colombia-Avenida República de Colombia""",,18.506653,-69.984564,,,0,,,
632882,,"""Avenida República de Colombia-Los Almacigos""",,18.506874,-69.975819,,,0,,,
632881,,"""Avenida República de Colombia-Avenida República de Colombia""",,18.509202,-69.966423,,,0,,,
632880,,"""Avenida Jacobo Majluta-Jacagua""",,18.547944,-69.951303,,,0,,,
632879,,"""Avenida Jacobo Majluta-Residencial BORA""",,18.556239,-69.939332,,,0,,,
632878,,"""Calle Principal-Avenida República de Colombia""",,18.506077,-69.979577,,,0,,,
632877,,"""Avenida República de Colombia-Isabel de Torres""",,18.506997,-69.971662,,,0,,,
632876,,"""Av. Presidente Antonio Majluta Azar-Avenida República de Colombia""",,18.507444,-69.961099,,,0,,,
632875,,"""Avenida Jacobo Majluta-Carretera La Isabela""",,18.511042,-69.957244,,,0,,,
632874,,"""Avenida Mirador Norte-Jardin Memorial""",,18.522051,-69.951474,,,0,,,
632873,,"""Avenida Presidente Antonio Guzmán Fernandez-Avenida Jacobo Majluta""",,18.541015,-69.954148,,,0,,,
9007199254740978_3,,"""Avenida Jacobo Majluta-Avenida Jacobo Majluta""",,18.548985,-69.949697,,,0,,,
632871,,"""Avenida Jacobo Majluta-Avenida Jacobo Majluta""",,18.553519,-69.944476,,,0,,,
9007199254740980_3,,"""Avenida Jacobo Majluta-Villas del Lago""",,18.555905,-69.938745,,,0,,,
632869,,"""Avenida Jacobo Majluta-Ciudad de los Jardines (Edificios)""",,18.554673,-69.931777,,,0,,,
632868,,"""Calle B-Calle A""",,18.551751,-69.925454,,,0,,,
632867,,"""Avenida Sánchez-Avenida Jacobo Majluta""",,18.547067,-69.920671,,,0,,,
9007199254740984_3,,"""Avenida Konrad Adenauer-Calle L""",,18.546377,-69.910408,,,0,,,
632865,,"""Avenida Charles de Gaulle-Residencial Miami 2""",,18.546175,-69.893554,,,0,,,
632864,,"""Avenida Charles de Gaulle-Paseo Central""",,18.548539,-69.885575,,,0,,,
632863,,"""Avenida Charles de Gaulle-Recidencial Bello Hogar""",,18.546071,-69.877292,,,0,,,
632862,,"""RP. 22-Avenida Charles de Gaulle""",,18.544836,-69.872050,,,0,,,
632861,,"""El Sol-San Francisco""",,18.545616,-69.867403,,,0,,,
632860,,"""Avenida Charles de Gaulle-Calle B""",,18.541347,-69.856231,,,0,,,
632859,,"""Cabañas La Paz-don carlos""",,18.534499,-69.846994,,,0,,,
632858,,"""Avenida Charles de Gaulle-Real Cancino""",,18.529190,-69.842126,,,0,,,
632857,,"""Calle Luperon E-Entrada Multicentro""",,18.524526,-69.837732,,,0,,,
632856,,"""Elevado Avenida Charles de Gaulle-Carretera Mella""",,18.519279,-69.834819,,,0,,,
632855,,"""Avenida Charles de Gaulle-Calle Felipe Alfau""",,18.514711,-69.832266,,,0,,,
632854,,"""Simón Orozco-Avenida Charles de Gaulle""",,18.509484,-69.829416,,,0,,,
632853,,"""Calle 1ra-Peña Gómez""",,18.503357,-69.825996,,,0,,,
632852,,"""Avenida Charles de Gaulle-Avenida Charles de Gaulle""",,18.499067,-69.823633,,,0,,,
632851,,"""Avenida Charles de Gaulle-Crisfer XIV""",,18.495506,-69.823871,,,0,,,
632850,,"""Autopista Coronel Rafel Tomás Fernández Domínguez-Avenida Charles de Gaulle""",,18.489260,-69.825485,,,0,,,
632849,,"""Avenida Charles de Gaulle-Avenida Estrella Del Mar""",,18.476669,-69.828506,,,0,,,
632848,,"""Puente Juan Carlos-Avenida Charles de Gaulle""",,18.469796,-69.830215,,,0,,,
632847,,"""Avenida Ecológica-Avenida Charles de Gaulle""",,18.483329,-69.826947,,,0,,,
