trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed,route_id,shape_id,trip_id,service_id
first trip of the pattern,default,1,default,,,11534,54953,first trip_1,Martes
first trip of the pattern,default,1,default,,,11534,54952,first trip_2,Martes
first trip of the pattern,default,1,default,,,11535,54955,first trip_3,Martes
first trip of the pattern,default,1,default,,,11535,54954,first trip_4,Martes
first trip of the pattern,default,1,default,,,9007199254740990_26,54957,first trip_5,Martes
first trip of the pattern,default,1,default,,,9007199254740990_26,54956,first trip_6,Martes
first trip of the pattern,default,1,default,,,9007199254740990_9,58275,first trip_7,Martes
first trip of the pattern,default,1,default,,,9007199254740990_9,54965,first trip_8,Martes
first trip of the pattern,default,1,default,,,9007199254740990_25,58278,first trip_9,Martes
first trip of the pattern,default,1,default,,,9007199254740990_25,54976,first trip_10,Martes
first trip of the pattern,default,1,default,,,17343,58276,first trip_11,Martes
first trip of the pattern,default,1,default,,,17343,54971,first trip_12,Martes
first trip of the pattern,default,1,default,,,17344,57835,first trip_13,Martes
first trip of the pattern,default,1,default,,,17344,54969,first trip_14,Martes
first trip of the pattern,default,1,default,,,17345,58282,first trip_15,Martes
first trip of the pattern,default,1,default,,,17345,58281,first trip_16,Martes
first trip of the pattern,default,1,default,,,9007199254740990_24,58284,first trip_17,Martes
first trip of the pattern,default,1,default,,,9007199254740990_24,58283,first trip_18,Martes
first trip of the pattern,default,1,default,,,9007199254740990_23,58273,first trip_19,Martes
first trip of the pattern,default,1,default,,,9007199254740990_23,54970,first trip_20,Martes
first trip of the pattern,default,1,default,,,9007199254740990_22,58274,first trip_21,Martes
first trip of the pattern,default,1,default,,,9007199254740990_22,54972,first trip_22,Martes
first trip of the pattern,default,1,default,,,9007199254740990_21,58277,first trip_23,Martes
first trip of the pattern,default,1,default,,,9007199254740990_21,54973,first trip_24,Martes
first trip of the pattern,default,1,default,,,9007199254740990_20,58280,first trip_25,Martes
first trip of the pattern,default,1,default,,,9007199254740990_20,54974,first trip_26,Martes
first trip of the pattern,default,1,default,,,17351,61575,first trip_27,Martes
first trip of the pattern,default,1,default,,,17351,61574,first trip_28,Martes
first trip of the pattern,default,1,default,,,9007199254740990_19,58279,first trip_29,Martes
first trip of the pattern,default,1,default,,,9007199254740990_19,55930,first trip_30,Martes
first trip of the pattern,default,1,default,,,9007199254740990_18,58286,first trip_31,Martes
first trip of the pattern,default,1,default,,,9007199254740990_18,58285,first trip_32,Martes
first trip of the pattern,default,1,default,,,9007199254740990_17,58288,first trip_33,Martes
first trip of the pattern,default,1,default,,,9007199254740990_17,58287,first trip_34,Martes
first trip of the pattern,default,1,default,,,9007199254740990_16,58290,first trip_35,Martes
first trip of the pattern,default,1,default,,,9007199254740990_16,58289,first trip_36,Martes
first trip of the pattern,default,1,default,,,9007199254740990_15,58292,first trip_37,Martes
first trip of the pattern,default,1,default,,,9007199254740990_15,58291,first trip_38,Martes
first trip of the pattern,default,1,default,,,9007199254740990_14,58294,first trip_39,Martes
first trip of the pattern,default,1,default,,,9007199254740990_14,58293,first trip_40,Martes
first trip of the pattern,default,1,default,,,18364,58296,first trip_41,Martes
first trip of the pattern,default,1,default,,,18364,58295,first trip_42,Martes
first trip of the pattern,default,1,default,,,9007199254740990_13,58298,first trip_43,Martes
first trip of the pattern,default,1,default,,,9007199254740990_13,58297,first trip_44,Martes
first trip of the pattern,default,1,default,,,18581,60492,first trip_45,Martes
first trip of the pattern,default,1,default,,,18581,59005,first trip_46,Martes
first trip of the pattern,default,1,default,,,9007199254740990_12,59007,first trip_47,Martes
first trip of the pattern,default,1,default,,,9007199254740990_12,59006,first trip_48,Martes
first trip of the pattern,default,1,default,,,9007199254740990_11,60741,first trip_49,Martes
first trip of the pattern,default,1,default,,,9007199254740990_11,59009,first trip_50,Martes
first trip of the pattern,default,1,default,,,9007199254740990_10,60740,first trip_51,Martes
first trip of the pattern,default,1,default,,,9007199254740990_10,59358,first trip_52,Martes
first trip of the pattern,default,1,default,,,19029,60488,first trip_53,Martes
first trip of the pattern,default,1,default,,,19029,60487,first trip_54,Martes
first trip of the pattern,default,1,default,,,19030_2,60491,first trip_55,Martes
first trip of the pattern,default,1,default,,,19030_2,60490,first trip_56,Martes
first trip of the pattern,default,1,default,,,19406,61569,first trip_57,Martes
first trip of the pattern,default,1,default,,,19406,61568,first trip_58,Martes
first trip of the pattern,default,1,default,,,9007199254740990_8,61571,first trip_59,Martes
first trip of the pattern,default,1,default,,,9007199254740990_8,61570,first trip_60,Martes
first trip of the pattern,default,1,default,,,9007199254740990_7,61573,first trip_61,Martes
first trip of the pattern,default,1,default,,,9007199254740990_7,61572,first trip_62,Martes
first trip of the pattern,default,1,default,,,19409,61577,first trip_63,Martes
first trip of the pattern,default,1,default,,,19409,61576,first trip_64,Martes
first trip of the pattern,default,1,default,,,9007199254740990_6,61579,first trip_65,Martes
first trip of the pattern,default,1,default,,,9007199254740990_6,61578,first trip_66,Martes
first trip of the pattern,default,1,default,,,9007199254740990_5,61581,first trip_67,Martes
first trip of the pattern,default,1,default,,,9007199254740990_5,61580,first trip_68,Martes
first trip of the pattern,default,1,default,,,9007199254740990_4,61583,first trip_69,Martes
first trip of the pattern,default,1,default,,,9007199254740990_4,61582,first trip_70,Martes
first trip of the pattern,default,1,default,,,9007199254740990_3,62353,first trip_71,Martes
first trip of the pattern,default,1,default,,,9007199254740990_3,62352,first trip_72,Martes
first trip of the pattern,default,1,default,,,19030_1,64039,first trip_73,Martes
first trip of the pattern,default,1,default,,,19030_1,64038,first trip_74,Martes
first trip of the pattern,default,1,default,,,20307,64040,first trip_75,empty service for trips with no frequency defined
first trip of the pattern,default,1,default,,,20310,64043,first trip_76,empty service for trips with no frequency defined
first trip of the pattern,default,1,default,,,20311,64044,first trip_77,empty service for trips with no frequency defined
first trip of the pattern,default,1,default,,,20312,64045,first trip_78,empty service for trips with no frequency defined
first trip of the pattern,default,1,default,,,9007199254740990_2,72046,first trip_79,Martes
first trip of the pattern,default,1,default,,,9007199254740990_2,72045,first trip_80,Martes
first trip of the pattern,default,1,default,,,9007199254740990_1,72165,first trip_81,Martes
